date,interest_rate,mortgage30,mortgage15,gdp,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,total_listing_count,pending_ratio
7/1/2016,0.16534694,3.44,2.7475,18892.639,259000,1463025,64,527576,44060,418920,415304,127,1927,1873209,0.2839
8/1/2016,0.22683746,3.435,2.745,18958.219,255267,1460071,67,470786,40484,408718,392800,126,1921,1848466,0.269
9/1/2016,0.2160743,3.46,2.756,19023.799,255000,1443103,71,452994,37226,406618,369528,126,1920,1807824,0.2561
10/1/2016,0.28979681,3.47,2.7625,19089.379,255000,1407722,72,413380,36128,365876,353149,127,1914,1757624,0.2509
11/1/2016,0.34660933,3.77,3.0275,19152.94733,252991,1339724,74,376706,33728,319376,331792,126,1904,1667789,0.2477
12/1/2016,0.70045658,4.198,3.428,19216.51567,249900,1236003,83,281556,33728,224680,293207,125,1892,1526082,0.2372
1/1/2017,0.72565107,4.15,3.3875,19280.084,249900,1154139,88,387202,31926,245290,267943,126,1886,1420208,0.2322
2/1/2017,0.77438158,4.1675,3.38,19332.937,255400,1151139,82,437754,37132,268584,319466,128,1897,1464645,0.2775
3/1/2017,0.91650302,4.196,3.414,19385.79,264450,1172731,62,509098,44614,299882,372065,130,1919,1540745,0.3173
4/1/2017,0.76575378,4.045,3.3,19438.643,270000,1198445,58,555252,51032,331396,422179,132,1948,1616241,0.3523
5/1/2017,0.7764088,4.01,3.255,19523.29367,277477,1253871,55,566590,53288,373204,449129,133,1968,1698366,0.3582
6/1/2017,0.73611135,3.904,3.174,19607.94433,279000,1292389,56,539118,53624,406090,436451,134,1977,1725986,0.3377
7/1/2017,0.72501612,3.9675,3.235,19692.595,279000,1322676,59,533556,52916,436424,415093,134,1976,1731433,0.3138
8/1/2017,0.67086016,3.88,3.16,19807.426,275000,1325376,61,500084,49266,420542,391879,133,1968,1710404,0.2957
9/1/2017,0.56521264,3.805,3.105,19922.257,275000,1308624,64,439208,43576,386660,369426,133,1960,1672596,0.2823
10/1/2017,0.72914351,3.895,3.2,20037.088,275000,1287341,68,428158,44488,380450,351800,134,1951,1637397,0.2733
11/1/2017,0.75219045,3.922,3.288,20134.243,274445,1228097,71,384202,40318,328050,323932,133,1942,1548809,0.2638
12/1/2017,0.57304923,3.95,3.385,20231.398,269900,1127819,78,288036,36624,223704,286843,133,1918,1411609,0.2543
1/1/2018,0.87378801,4.0325,3.4825,20328.553,269739,1043968,83,381636,37110,234682,257571,134,1910,1300752,0.2467
2/1/2018,1.08846929,4.33,3.785,20412.67267,275450,1045168,76,433626,40186,252010,310658,136,1918,1352911,0.2972
3/1/2018,1.02953583,4.444,3.91,20496.79233,285000,1067293,58,502856,48908,284284,361845,139,1941,1428614,0.339
4/1/2018,1.01435433,4.4675,3.925,20580.912,294950,1102074,54,552412,56102,326074,418136,142,1964,1516277,0.3794
5/1/2018,1.2160918,4.586,4.066,20653.518,299450,1156921,51,579566,58078,377496,443974,144,1981,1596998,0.3838
6/1/2018,1.24572814,4.57,4.04,20726.124,299900,1216521,51,546536,61028,417476,430100,144,1991,1646225,0.3535
7/1/2018,1.15523371,4.5275,4.0075,20798.73,299450,1261936,55,523848,55488,455130,402861,144,1985,1660545,0.3192
8/1/2018,1.25524162,4.55,4.018,20838.44233,298500,1285682,58,492638,51980,458122,389029,143,1970,1671435,0.3026
9/1/2018,1.1321469,4.6275,4.08,20878.15467,297500,1301939,60,466844,47544,458240,370589,144,1954,1660415,0.2846
